2024-09-13 12:15:49.109 | INFO  | nchat 5.1.29  (main.cpp:249)
2024-09-13 12:17:11.672 | WARN  | whatsmeow Failed to parse <meta> node in 3A4CB70270E39CB6289D: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:13.105 | WARN  | whatsmeow Failed to parse <meta> node in 3A4B686D2C80A9AD1BC3: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:15.973 | WARN  | whatsmeow Failed to parse <meta> node in 3A5B0DB50BF347745D65: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:16.011 | WARN  | whatsmeow Failed to parse <meta> node in 3A629CFF7D94653D55A6: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:17.514 | WARN  | whatsmeow Failed to parse <meta> node in 3A537E0C1D053A283BFF: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:19.761 | WARN  | whatsmeow Failed to parse <meta> node in 3AC1E6813976DD0889B5: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:22.833 | WARN  | whatsmeow Failed to parse <meta> node in 3AA5337C460C8B4F058A: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:22.835 | WARN  | whatsmeow Failed to parse <meta> node in 3AC0EF8DFE7B491FF4AD: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:24.315 | WARN  | whatsmeow Failed to parse <meta> node in 3AA1F701181723E1E352: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:25.886 | WARN  | whatsmeow Failed to parse <meta> node in 3AF15C68549E81FBA5AB: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:28.977 | WARN  | whatsmeow Failed to parse <meta> node in 3A2A333184CAF125BCB5: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:28.980 | WARN  | whatsmeow Failed to parse <meta> node in 3AD34BDE0BCE9BB1B69C: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:30.513 | WARN  | whatsmeow Failed to parse <meta> node in 3A0A1E7725AD8677A123: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:32.151 | WARN  | whatsmeow Failed to parse <meta> node in 3AF9FC319260CC4806D4: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:33.893 | WARN  | whatsmeow Failed to parse <meta> node in 3AC31652310CA0D3D4C9: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:17:33.895 | WARN  | whatsmeow Failed to parse <meta> node in 3AAABB0EE6F0325C5F89: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:18:28.062 | WARN  | whatsmeow Failed to parse <meta> node in 835B3CAE3B7BE80D71DD9A9B00179B85: [didn't find required attribute 'target_id']  (gowm.go:482)
2024-09-13 12:19:47.460 | INFO  | ui loop end  (ui.cpp:109)
2024-09-13 12:19:47.669 | INFO  | update profile to 20240727  (wmchat.cpp:166)
2024-09-13 12:19:47.797 | INFO  | exit  (main.cpp:433)
